telegram_date,telegram_time,instrument,redbar_positive_above,redbar_negative_below,direction_or_option,option_strike,premium_claim,claimed_target_result,evidence_class,raw_evidence,source_post_identifier,source_link,research_stream
2026-09-17,03:56,NIFTY,23247,,,,,,publicly_pre_announced,"Red bar levels in Nifty / positive Above 23247",public-preview-03:56-positive,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,03:56,NIFTY,,23245,,,,,publicly_pre_announced,"Red bar levels in Nifty / Negative Below 23245",public-preview-03:56-negative,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,03:57,SENSEX,74358,,,,,,publicly_pre_announced,"Red bar levels in sensex / positive Above 74358",public-preview-03:57-positive,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,03:57,SENSEX,,74350,,,,,publicly_pre_announced,"Red bar levels in SENSEX / Negative Below 74350",public-preview-03:57-negative,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,04:07,SENSEX,,,CE,74300,"220 to 333+",333+,result_only_provenance_unknown,"SENSEX 74300 CE trigger from 220 to 333+",public-preview-04:07,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,04:09,NIFTY,,,,,,"High 23300 from red bar levels",post_result_linked_to_public_levels,"NIFTY made a high of 23300 from the red bar levels.",public-preview-04:09,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,04:10,SENSEX,,,,,,"High 74530 from red bar levels",post_result_linked_to_public_levels,"SENSEX made a high of 74530 from the red bar levels.",public-preview-04:10,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,04:39,SENSEX,,,CE,74400,"182 to 280+",280+,result_only_provenance_unknown,"SENSEX 74400 CE trigger from 182 to 280+",public-preview-04:39,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,05:38,SENSEX,,,PE,74500,"212 to 350+",350+,result_only_provenance_unknown,"SENSEX 74500 PE trigger from 212to 350+",public-preview-05:38,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,06:29,SENSEX,,,CE,74300,"188 to 280+",280+,result_only_provenance_unknown,"SENSEX 74300 CE trigger from 188 to 280+",public-preview-06:29,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,06:38,SENSEX,,,CE,74300,"188 to 380+",380+,result_update_same_claim,"SENSEX 74300 CE trigger from 188 to 380+",public-preview-06:38,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,06:54,SENSEX,,,CE,74300,"188 to 438+",438+,result_update_same_claim,"SENSEX 74300 CE trigger from 188 to 438+",public-preview-06:54,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,07:46,NIFTY,,23333,,,,,publicly_pre_announced,"12.45 Trikal strategy in NIFTY / Negative Below 23333",public-preview-07:46-negative,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,07:46,NIFTY,23335,,,,,,publicly_pre_announced,"12.45 Trikal strategy in NIFTY / Positive Above 23335",public-preview-07:46-positive,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,07:47,SENSEX,,74568,,,,,publicly_pre_announced,"12.45 Trikal strategy in sensex / Negative Below 74568",public-preview-07:47-negative,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,07:47,SENSEX,74574,,,,,,publicly_pre_announced,"12.45 Trikal strategy in sensex / Positive Above 74574",public-preview-07:47-positive,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,07:58,NIFTY,,,,,,"Low 23270 following the 12:45 PM Levels",post_result_linked_to_public_levels,"NIFTY touched a low of 23270 following the 12:45 PM Levels",public-preview-07:58,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,08:00,SENSEX,,,,,,"Low 74330 following the 12:45 PM Levels",post_result_linked_to_public_levels,"sensex touched a low of 74330 following the 12:45 PM Levels",public-preview-08:00,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,08:02,SENSEX,,,PE,74600,"175 to 335+",335+,result_only_provenance_unknown,"SENSEX 74600 PE trigger from 175 to 335+",public-preview-08:02,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,08:08,NIFTY,,,,,,"Low 23245 following the 12:45 PM Levels",result_update_same_claim,"NIFTY touched a low of 23245 following the 12:45 PM Levels",public-preview-08:08,https://t.me/s/DrDevendraRenkoKing,Indian Indices Trading Brain Red Bar
2026-09-17,14:26,NIFTY,,,,,,,post_result_summary_media_unread,"TODAY NIFTY PERFORMANCE BASED ON DR D TRIKAL/RED BAR STRATEGY",195252,https://t.me/DrDevendraRenkoKing/195252,Indian Indices Trading Brain Red Bar
